CustomerID,Recency,Frequency,MonetaryValue
12747,3,25,948.7
12748,1,888,7046.159999999979
12749,4,37,813.4499999999998
12820,4,17,268.0200000000001
12822,71,9,146.15
12823,297,1,306.0
12824,60,6,106.38
12826,3,16,272.66
12827,33,2,44.55
12828,8,12,195.4
12829,337,2,95.8
12830,92,10,1727.92
12832,33,5,67.4
12833,146,5,87.0
12834,283,9,161.00000000000003
12836,60,34,585.53
12837,174,2,10.55
12838,34,17,62.11
12839,3,54,947.63
12840,144,19,459.66
12841,5,70,630.95
12842,71,8,224.54
12843,160,22,385.55
12844,30,7,38.05
12845,269,4,221.1
12847,23,14,123.20999999999998
12849,32,15,266.75
12851,97,13,29.570000000000004
12852,295,2,32.550000000000004
12853,135,12,234.48
12854,79,21,319.01
12856,8,64,402.48000000000013
12857,211,11,283.85
12863,53,1,34.8
12864,139,1,17.4
12867,27,105,749.2899999999997
12868,186,16,177.31000000000003
12871,85,5,70.74
12872,327,6,73.4
12873,283,1,102.0
12877,4,33,232.71
12878,237,8,174.3
12879,92,2,70.80000000000003
12883,25,10,186.18
12884,89,1,31.8
12885,64,20,361.47999999999985
12886,68,12,212.39
12890,25,13,53.87
12893,31,7,20.4
12895,43,6,107.65
12901,11,28,3647.06
12902,265,4,42.03
12904,19,15,64.55000000000001
12906,12,16,494.87000000000006
12909,88,19,624.2100000000003
12910,65,12,481.26
12912,9,3,162.36
12913,5,12,617.78
12915,149,2,35.9
12916,139,24,699.38
12919,9,6,133.74
12920,18,3,23.4
12921,10,115,2393.04
12922,162,4,57.24
12923,65,9,59.49999999999999
12924,89,6,220.83
12925,5,11,183.16000000000003
12928,36,15,366.8
12929,312,3,42.90000000000001
12930,79,6,97.51
12931,22,19,8490.64
12933,25,24,113.87
12935,3,26,406.1
12936,18,14,236.79
12937,16,31,393.43
12939,65,9,1680.6799999999996
12940,55,22,207.07
12942,132,14,80.92
12944,36,8,189.4
12945,289,5,129.10000000000002
12947,144,17,215.87
12948,45,23,372.78
12949,31,42,748.02
12950,3,4,471.6
12951,9,8,157.29999999999995
12952,6,18,291.27
12953,10,4,76.3
12955,2,32,875.5200000000003
12956,307,2,7.9
12957,10,50,814.7
12962,8,3,40.45
12963,9,13,257.62000000000006
12965,90,16,102.1
12966,10,3,42.5
12968,113,2,24.95
12970,8,30,72.78
12971,16,53,2082.69
12974,198,2,47.5
12976,212,5,203.68
12977,157,1,0.65
12980,188,7,2463.5399999999995
12981,30,4,84.47999999999998
12982,243,6,85.28999999999998
12984,19,1,19.8
12985,1,12,174.82
12987,74,3,45.4
12988,293,15,102.42
12989,4,13,976.8
12990,32,1,20.8
12991,24,4,77.7
12993,24,10,154.14999999999995
12994,5,15,212.45
12997,23,10,165.37999999999997
12999,206,2,21.9
13000,260,3,46.08
13001,5,67,2109.48
13002,319,2,24.95
13004,12,80,1044.6299999999997
13005,174,6,92.85
13006,57,3,77.00999999999998
13008,324,4,46.92
13012,10,19,418.92
13013,22,32,624.6
13014,11,26,680.6
13015,54,32,900.1499999999999
13016,74,10,184.11
13018,17,94,1483.6200000000006
13021,5,28,585.5
13023,65,10,181.49
13026,2,9,391.8
13027,114,5,1344.0
13028,23,10,160.20000000000005
13029,139,2,315.9
13030,12,4,60.93
13032,53,8,115.23
13033,358,3,55.05
13034,55,5,86.99999999999999
13035,74,6,262.70000000000005
13037,139,15,237.22
13038,291,4,75.6
13040,9,9,109.01
13043,274,3,196.8
13044,292,9,150.84
13045,100,4,45.34
13046,31,7,99.33
13047,57,36,626.02
13048,15,31,479.4
13049,65,3,122.1
13050,15,76,1147.5200000000004
13052,213,3,72.6
13055,79,10,191.64
13058,25,3,59.0
13060,254,4,62.39999999999999
13061,73,3,62.1
13062,192,2,32.4
13064,13,12,152.28
13066,25,11,94.1
13067,83,3,21.44
13069,15,72,627.5300000000002
13070,193,2,41.6
13072,267,1,29.700000000000006
13075,130,3,136.79999999999998
13077,2,18,75.79
13078,4,58,1763.4599999999994
13080,180,3,19.68
13081,12,183,5180.059999999999
13082,158,10,216.8
13083,5,5,136.0
13085,296,1,12.6
13089,5,329,10490.390000000003
13090,9,30,661.3199999999998
13091,29,5,105.42
13092,71,5,70.32
13093,276,28,1185.84
13094,130,2,152.64
13095,71,1,9.36
13097,33,82,1281.7600000000002
13098,2,106,4994.410000000002
13101,235,2,25.5
13102,2,68,1424.9599999999996
13104,4,4,243.96
13106,134,1,76.5
13107,86,13,357.08
13109,60,10,153.73
13110,32,31,297.79
13113,1,48,2387.2400000000007
13115,12,22,503.76
13116,139,5,77.74
13117,22,8,121.56
13118,20,15,126.64
13120,239,1,30.6
13121,270,10,51.31999999999999
13122,241,9,157.83
13124,90,50,831.0999999999998
13126,5,30,384.42999999999984
13127,78,4,68.7
13131,24,9,213.5
13132,262,2,62.0
13133,274,2,39.7
13134,86,18,344.54
13135,197,1,3096.0
13136,57,26,556.96
13137,11,129,681.6899999999998
13138,23,7,114.02
13139,17,39,1109.83
13140,109,7,78.56
13141,85,30,480.93000000000006
13142,20,7,91.14
13144,333,1,23.6
13145,92,1,45.0
13146,27,6,41.98
13147,100,1,118.8
13148,30,85,943.18
13149,15,14,309.8
13151,296,11,184.6
13153,6,3,37.44
13155,34,6,127.4
13157,50,10,169.19999999999996
13158,95,14,226.27
13159,9,31,360.2000000000001
13160,23,1,34.8
13161,314,1,27.0
13162,123,19,397.61
13165,47,6,195.6
13166,284,6,38.65
13167,19,12,122.06000000000002
13168,37,19,190.66000000000003
13169,253,1,23.4
13170,27,8,32.6
13171,50,8,46.94000000000001
13173,5,3,14.6
13174,17,25,244.97000000000003
13176,47,12,86.25000000000001
13177,65,4,67.35
13178,27,52,1231.3599999999994
13182,46,2,20.04
13183,8,23,823.3000000000003
13184,15,29,263.4199999999999
13186,40,21,383.69999999999993
13187,338,9,69.6
13189,19,6,64.2
13192,96,18,233.56000000000003
13193,62,7,40.45
13194,136,1,9.0
13196,12,21,336.48
13198,11,39,604.78
13199,4,23,2043.44
13200,20,7,133.14999999999998
13203,10,11,158.55999999999997
13208,59,27,221.77
13209,31,64,1076.39
13210,94,6,95.84
13211,96,8,164.14999999999995
13212,20,28,145.27
13213,57,18,294.80000000000007
13216,268,1,92.5
13220,220,4,19.69
13221,241,13,133.72
13223,201,2,115.8
13224,61,24,578.0700000000003
13225,4,7,1288.98
13226,274,1,8.4
13228,82,1,179.0
13229,226,2,36.75
13230,5,122,597.53
13232,13,26,225.14
13233,75,13,131.76000000000002
13235,213,11,185.15
13236,25,10,233.62000000000003
13238,24,8,165.10000000000005
13239,262,6,109.83
13240,97,12,89.69
13242,113,1,20.8
13243,204,11,142.89
13244,93,4,17.9
13245,51,2,61.3
13246,19,38,905.29
13247,52,4,69.0
13248,125,4,72.44
13249,94,5,310.86
13253,157,8,223.44
13255,10,1,49.8
13258,24,9,119.79
13259,62,21,95.31
13260,62,1,26.0
13261,286,4,441.6
13262,264,1,6.959999999999999
13263,2,319,1467.1100000000006
13265,54,14,263.16
13266,12,44,944.27
13267,3,43,930.59
13268,18,101,802.3
13269,2,70,1112.7200000000003
13271,38,22,64.17
13272,90,4,60.45
13273,114,2,14.05
13276,64,10,160.6
13277,117,1,25.0
13278,41,9,82.53999999999998
13280,123,13,130.21
13282,19,9,309.2000000000001
13283,186,1,17.0
13285,24,48,697.81
13291,156,4,36.0
13292,39,5,86.9
13294,190,9,151.7
13296,138,1,15.0
13297,8,13,525.18
13300,170,1,19.8
13301,104,16,138.05
13302,156,1,63.75
13304,352,4,57.21
13305,5,12,264.49
13308,23,9,143.56
13309,8,23,365.0
13310,29,14,243.12000000000003
13311,5,10,127.68
13313,23,13,242.56000000000003
13314,2,11,133.70999999999998
13316,38,18,1141.86
13317,67,20,362.76
13318,38,1,42.96
13319,6,84,1906.0000000000007
13320,79,16,259.0
13321,87,3,130.84
13322,18,8,89.49000000000002
13323,4,4,270.5
13324,37,14,1218.66
13325,82,3,268.0
13327,39,14,343.4000000000001
13328,317,4,356.99999999999994
13329,32,2,110.28
13330,93,10,251.0
13332,15,5,80.2
13334,83,57,687.3200000000003
13336,78,7,105.68
13338,158,6,166.39999999999995
13339,201,11,192.0
13340,46,26,2007.96
13341,261,10,248.75
13343,178,5,94.3
13344,68,13,379.3
13345,288,6,102.25
13347,71,4,168.6
13348,65,1,10.2
13349,11,4,41.68
13350,17,5,124.4
13351,67,4,67.44
13352,61,7,111.06
13354,72,8,108.54000000000002
13355,123,7,125.0
13356,81,9,226.71
13357,258,20,115.99
13358,269,6,64.74000000000001
13359,64,2,42.60000000000001
13362,10,33,690.9
13363,18,9,145.31
13364,72,1,17.4
13365,34,28,544.64
13368,257,8,211.35
13372,90,4,89.51
13373,61,31,698.2499999999999
13375,89,9,136.1
13376,100,13,236.85
13379,27,15,83.59
13381,32,38,800.7900000000003
13382,281,4,62.7
13384,31,25,896.9500000000003
13385,330,5,110.6
13388,132,9,210.77
13389,12,11,167.97000000000003
13394,2,33,665.8900000000001
13395,186,4,41.76
13396,30,10,342.54
13397,73,10,362.8
13398,193,7,103.43
13402,128,8,123.51
13403,18,1,15.0
13404,213,2,41.6
13405,205,6,113.99
13408,2,98,5686.879999999999
13410,75,5,125.84
13411,108,5,94.65
13414,134,7,168.45
13416,44,2,59.40000000000001
13417,5,10,222.1
13418,12,58,1296.3499999999995
13419,64,2,14.4
13420,171,1,10.5
13421,41,19,389.92
13422,65,30,670.34
13425,109,16,245.07
13426,1,29,676.5999999999998
13427,20,6,148.04
13428,11,14,40.93
13429,11,16,291.16
13430,19,8,76.56
13431,68,9,228.42
13435,6,22,759.0000000000001
13436,2,2,28.2
13437,15,31,666.36
13439,256,16,83.85
13441,92,1,10.2
13447,24,9,175.69
13448,17,30,491.29
13449,24,2,41.65000000000001
13450,27,14,411.05999999999983
13451,27,89,570.73
13452,260,2,590.0
13453,166,4,111.58
13455,25,3,73.8
13456,18,13,314.0900000000001
13458,8,78,1738.2000000000005
13460,30,1,17.0
13461,39,4,197.7
13462,253,2,37.8
13464,59,4,84.9
13466,185,5,78.39999999999998
13467,11,23,242.27
13468,2,54,1044.42
13470,100,3,49.5
13471,2,65,693.9600000000003
13473,61,6,142.29000000000005
13474,237,11,46.10000000000001
13475,218,14,219.21
13476,179,12,214.5
13477,58,9,152.32
13479,201,3,72.3
13481,46,22,333.21
13482,233,3,52.98
13483,66,3,59.7
13484,242,3,63.6
13485,234,4,73.3
13486,79,14,217.46
13487,58,9,149.2
13488,18,82,1595.5799999999995
13489,106,4,142.07999999999996
13491,52,15,192.63
13494,312,3,70.80000000000003
13495,8,7,376.2
13496,11,3,45.0
13497,283,3,54.3
13499,18,8,286.4500000000001
13500,24,10,189.5
13502,17,2,16.8
13503,72,1,10.5
13504,65,6,72.12
13506,317,1,20.4
13507,4,33,492.86
13508,244,3,27.630000000000006
13509,9,8,121.22
13510,2,21,329.31999999999994
13512,261,6,89.3
13513,127,2,37.65
13515,73,7,103.2
13516,22,7,370.66
13517,60,31,450.99
13518,86,7,121.4
13519,79,1,11.9
13521,2,98,263.2799999999999
13523,34,29,893.3699999999997
13524,41,3,53.78
13525,15,1,23.9
13527,34,47,538.8299999999998
13529,79,3,51.05
13531,206,3,79.85
13532,34,10,29.61
13533,183,16,63.29
13534,3,63,1242.0499999999995
13536,2,40,723.0700000000003
13538,44,6,283.65
13539,86,8,161.39999999999995
13544,40,21,66.33000000000001
13546,13,15,84.90000000000002
13548,97,26,127.1
13549,65,9,173.60000000000005
13551,320,1,17.85
13552,67,30,1059.26
13555,74,29,764.9599999999997
13557,29,9,148.08
13558,6,43,181.15
13560,8,7,45.1
13562,82,12,249.4
13563,85,10,222.28
13564,145,9,644.7399999999999
13565,20,11,78.23
13566,41,37,201.26
13568,174,6,19.45
13569,18,12,55.1
13570,244,6,55.91
13571,13,86,511.29999999999984
13572,206,7,182.53
13573,51,6,73.75
13575,24,13,194.5
13576,11,25,1211.14
13577,26,17,439.85
13581,310,1,2.95
13583,156,10,151.9
13584,307,9,43.2
13587,64,3,357.6
13588,16,35,454.98
13589,15,3,67.35
13590,12,19,373.43
13591,65,13,324.4
13592,206,3,58.97
13593,109,29,507.47
13594,53,5,56.51
13596,6,35,147.43
13598,48,4,15.65
13599,2,45,1139.8199999999995
13600,313,6,48.57
13601,46,18,134.25
13602,65,6,101.1
13603,27,8,62.19
13606,30,5,25.32
13607,41,27,179.72000000000003
13610,13,56,284.67
13611,90,14,234.8
13614,25,41,327.6799999999999
13615,319,6,103.8
13617,41,13,136.47
13618,174,4,38.26
13621,117,2,32.4
13623,31,18,183.05
13626,253,3,45.2
13627,60,18,298.43000000000006
13629,24,16,2480.76
13630,6,17,403.99
13631,207,1,100.0
13632,25,25,363.81
13634,34,33,352.33
13635,68,15,243.23
13636,37,13,185.0
13637,53,29,256.25
13638,16,3,38.1
13639,75,10,270.78
13642,216,9,51.07
13643,32,8,152.7
13644,17,33,639.34
13645,121,1,19.9
13647,10,13,240.56
13649,257,1,15.3
13650,17,26,461.92
13652,46,9,170.68
13654,44,27,442.9399999999998
13655,115,12,190.16
13656,165,7,62.11999999999999
13657,11,2,22.8
13658,10,12,244.46
13659,206,18,268.33
13662,86,8,134.84
13663,180,1,5.04
13666,61,2,12.55
13667,150,19,53.94000000000001
13668,3,93,1320.5700000000004
13669,51,3,60.45
13670,76,3,59.94
13673,19,14,110.92000000000002
13675,152,9,167.04000000000005
13678,152,2,11.64
13680,2,30,983.16
13681,18,12,177.88
13682,188,2,42.5
13684,286,8,14.8
13685,4,8,754.27
13686,183,1,8.5
13689,64,2,358.0
13690,60,2,32.7
13692,25,8,324.9000000000001
13694,4,115,12768.029999999995
13695,32,14,305.27
13697,39,4,48.32
13699,156,3,63.6
13700,27,48,495.38
13703,319,1,99.5
13704,6,18,320.97
13705,8,3,99.36
13706,303,4,41.10000000000001
13707,268,5,110.45
13708,272,17,88.43
13709,4,62,1458.9300000000005
13710,32,2,23.28
13711,219,4,88.19
13712,247,1,15.0
13715,282,24,198.25000000000003
13716,270,5,25.85
13717,33,16,204.66
13718,247,3,73.1
13719,16,15,278.09000000000003
13720,117,8,118.1
13721,37,6,127.95
13722,132,16,437.44000000000005
13723,218,1,19.75
13725,50,14,215.95
13726,39,12,349.94
13727,29,7,103.85
13728,37,11,187.7
13730,136,13,288.47
13731,220,12,215.52
13732,29,4,71.4
13735,25,44,720.4899999999999
13736,6,28,84.36000000000001
13737,201,8,46.45
13740,241,3,30.48
13741,72,8,153.21
13742,17,59,569.5099999999999
13743,3,7,275.88
13744,96,18,301.48
13745,163,7,111.71999999999998
13748,96,7,215.15
13750,54,8,467.07000000000005
13751,289,2,169.2
13752,156,16,204.58
13753,288,4,63.9
13754,318,3,45.3
13755,4,68,520.7699999999999
13756,3,23,831.33
13758,39,17,423.65
13759,72,8,282.44
13760,55,8,30.04
13761,51,11,162.09
13762,219,1,30.0
13763,64,2,281.52
13764,71,27,154.42999999999995
13767,26,72,2940.199999999999
13769,3,25,729.2600000000001
13771,65,18,331.9
13772,34,35,212.15
13774,82,4,62.35
13777,9,32,4401.259999999998
13778,104,1,27.25
13780,8,12,62.31
13781,251,6,37.83000000000001
13782,13,26,227.92000000000007
13784,219,2,55.8
13787,76,5,13.89
13790,5,8,85.26
13791,128,3,648.0
13792,67,2,38.4
13798,3,75,8167.579999999999
13799,117,7,136.3
13800,310,8,151.8
13801,67,2,30.3
13802,139,14,1114.98
13803,256,3,57.7
13804,31,21,374.92
13805,53,4,303.4000000000001
13808,6,12,339.7
13819,302,8,241.8
13821,145,13,77.69
13822,41,23,93.59000000000002
13823,19,12,341.55
13824,242,8,216.5
13826,177,1,25.5
13827,58,17,76.18
13828,23,1,10.2
13831,17,18,367.91
13832,20,1,19.8
13833,160,6,97.7
13835,26,9,160.18
13837,212,2,8.5
13838,6,30,106.15000000000002
13842,59,41,664.89
13844,12,5,111.1
13846,25,14,242.45
13848,298,1,85.0
13849,52,25,401.78
13850,130,19,308.63
13851,96,17,366.54
13853,58,4,139.39999999999998
13854,9,18,1367.8900000000006
13856,169,3,112.8
13858,58,3,50.37000000000001
13859,327,8,50.09
13860,2,18,294.94
13862,19,22,390.55
13863,248,4,60.18
13865,59,7,121.82
13866,75,1,24.9
13867,32,11,180.56
13868,39,5,108.05
13869,124,63,674.3799999999998
13870,3,28,563.3299999999998
13871,23,54,997.16
13873,120,2,47.7
13874,359,4,227.65
13875,54,27,442.64
13876,64,3,58.6
13878,55,9,313.42
13880,22,30,708.8299999999998
13881,26,31,2785.21
13882,3,17,284.74
13883,11,28,527.69
13884,8,12,171.50000000000003
13885,201,3,64.7
13886,72,3,39.7
13887,205,5,78.96000000000002
13888,120,11,160.51
13889,93,5,133.7
13890,2,14,246.54
13892,65,5,105.4
13893,298,5,84.80000000000003
13894,24,4,65.4
13895,29,23,539.74
13897,51,5,74.9
13898,326,2,29.85
13899,275,3,78.9
13900,193,7,121.22
13901,73,27,496.62000000000006
13904,38,3,50.4
13908,80,26,491.82
13911,58,31,473.54
13914,12,3,67.86
13917,50,3,17.04
13918,50,4,106.3
13922,352,2,51.75
13923,54,6,98.42000000000002
13924,2,23,337.24000000000007
13925,122,10,142.47
13926,24,1,20.4
13927,75,3,47.2
13928,11,6,91.32
13929,170,2,433.7
13930,58,2,30.6
13931,96,16,280.90000000000003
13933,110,3,77.1
13934,264,10,219.25
13936,180,7,112.54
13937,170,2,50.39999999999999
13938,36,3,21.94
13939,24,13,149.91
13940,18,7,141.54000000000005
13941,22,6,547.2
13946,202,2,131.39999999999998
13947,66,1,19.8
13948,361,1,46.8
13949,3,30,454.94000000000005
13950,12,3,55.08
13951,177,7,115.38
13952,218,32,722.0599999999997
13953,8,3,795.0
13954,2,9,176.5
13955,155,9,72.98000000000002
13956,6,32,266.48
13959,80,19,142.96000000000004
13960,22,2,24.660000000000004
13962,246,1,15.3
13963,309,3,45.2
13967,146,1,45.0
13969,8,129,1970.97
13971,19,26,467.36
13972,202,3,53.9
13973,288,5,177.2
13974,50,3,39.96
13975,32,63,433.75000000000017
13978,46,3,63.32000000000001
13979,74,15,227.0
13980,61,4,91.66
13982,40,15,325.35
13983,30,23,826.94
13984,326,1,11.8
13985,5,68,1406.42
13986,18,3,58.13
13988,20,42,661.7399999999999
13989,66,11,316.6
13990,214,3,54.55
13991,13,21,195.13
13992,31,1,20.0
13993,43,14,541.28
13994,4,26,467.03999999999985
13995,57,14,217.43
13999,11,27,588.9800000000001
14000,212,3,60.0
14001,46,8,496.2000000000001
14002,135,5,70.28
14004,44,37,1170.75
14005,10,22,697.3600000000001
14006,116,6,196.32
14009,199,11,199.11
14012,278,3,104.4
14013,111,6,82.38
14014,78,4,28.24
14015,53,4,189.42
14019,47,8,204.85
14020,17,7,119.06
14021,156,8,218.85
14022,226,6,64.86
14023,8,6,110.5
14024,122,4,66.15
14027,61,1,10.2
14029,64,1,25.5
14030,19,37,297.68000000000006
14031,8,41,2504.6800000000007
14032,17,26,484.42
14034,23,23,66.69
14035,29,15,275.12
14036,285,8,137.0
14037,365,4,15.75
14038,79,14,237.70000000000005
14039,34,3,102.6
14040,62,40,696.3
14041,267,4,11.8
14044,27,38,118.19000000000004
14047,9,3,113.1
14048,306,21,95.47
14049,17,97,1048.92
14050,32,12,184.73
14051,1,32,2688.9500000000007
14052,20,11,38.99999999999999
14054,66,1,9.96
14055,107,2,137.6
14056,2,205,1618.4600000000007
14057,24,52,1356.9399999999996
14059,267,1,23.4
14060,5,43,1623.2999999999995
14062,10,18,1140.2200000000005
14064,30,18,218.71
14066,267,2,53.25
14067,64,8,73.9
14068,321,5,67.80000000000001
14071,4,70,296.92999999999995
14073,33,3,30.94
14075,5,12,222.12
14076,130,8,21.79
14077,79,11,111.27
14078,102,9,300.4
14079,125,3,46.55
14081,303,16,98.90000000000002
14082,365,5,32.6
14083,5,21,153.3
14085,3,102,925.34
14087,3,16,56.50999999999999
14088,11,141,11812.270000000002
14089,57,4,79.45
14092,8,34,634.5
14093,13,16,91.34999999999998
14096,5,1055,13300.099999999993
14098,37,6,18.26
14099,17,55,701.93
14100,138,6,41.95
14101,74,11,2191.94
14102,6,16,251.6
14104,155,4,93.6
14105,240,13,224.73
14107,52,24,498.16
14108,31,4,85.98
14109,73,3,55.2
14110,4,29,1367.9
14112,23,30,537.9000000000002
14113,4,6,106.8
14114,274,2,53.7
14116,20,13,245.32
14117,144,1,30.0
14121,4,32,631.12
14124,85,2,118.08
14125,11,29,443.07000000000016
14126,11,2,29.4
14127,123,6,92.34
14128,61,12,184.22
14129,2,11,251.00000000000003
14130,320,14,99.25
14132,3,41,757.98
14133,130,8,187.92
14135,2,19,1035.24
14138,2,12,327.29
14139,47,5,66.24
14140,4,13,164.54999999999995
14141,3,4,144.60000000000005
14145,47,3,1128.6
14146,9,48,823.6199999999999
14147,286,1,136.0
14148,234,1,127.5
14149,221,3,50.39999999999999
14150,36,8,163.6
14152,76,10,114.18
14154,240,11,214.7
14155,267,2,35.7
14157,286,3,18.97
14158,41,10,115.98
14159,20,223,837.3899999999996
14161,216,12,70.44
14162,174,4,35.84999999999999
14163,88,16,524.8399999999998
14164,81,4,131.4
14165,276,9,49.48
14167,40,13,167.95
14171,99,11,83.57
14173,11,5,53.68000000000001
14174,34,5,19.05
14175,60,34,707.59
14176,298,5,88.0
14177,96,9,68.30000000000001
14178,9,69,342.88999999999993
14179,41,36,149.38000000000005
14180,11,39,754.0000000000001
14184,67,6,110.64
14185,332,1,165.0
14188,31,15,422.4
14189,3,54,987.9499999999997
14191,2,48,896.0699999999997
14193,68,8,157.2
14194,5,115,2343.4499999999994
14195,253,1,100.8
14196,107,2,244.8
14198,19,6,106.75
14201,61,7,113.18
14204,3,11,45.6
14205,17,6,113.7
14206,240,3,56.99999999999999
14208,95,1,10.5
14209,122,7,119.75
14210,106,22,397.04000000000013
14211,54,16,299.82
14212,90,3,339.4
14214,171,11,196.59
14215,12,18,311.25
14216,4,10,276.86
14217,12,30,595.53
